,Step,Loss,Beta,KL,Word,Topo,Assm,Steo,PNorm,GNorm,LR
0,99.0,4821.148506164551,0.0,379.9071960449219,30.206598646938797,81.49902606010437,57.95324284570245,72.12493885620191,124.325819989569,47.559091729518926,0.001
1,199.0,2990.0873413085938,0.0,621.755859375,51.06202560663223,91.0597094297409,62.65350845925188,100.0,130.82337469607063,17.452906620287795,0.001
2,299.0,2488.297706604004,0.0,725.93017578125,62.35726761817932,92.33899629116058,63.4071702923523,100.0,136.2373879882052,20.360940979318435,0.001
3,399.0,2214.2074184417725,0.0,943.3184814453125,67.09181821346283,93.77948492765427,63.995774531026875,100.0,140.9554836674952,23.393188843960985,0.001
4,499.0,2017.4672708511353,0.0,920.2716064453125,69.88961589336395,94.31169468164444,65.25270849097205,100.0,145.66584790945478,20.068843875821894,0.001
5,599.0,1874.6563339233396,0.0,935.8380126953125,72.08899426460266,94.53925704956055,68.34371439327575,99.96774193548387,150.43879324790282,30.50762262162457,0.001
6,699.0,1734.9361124038699,0.0,950.8953247070312,73.62626928091049,95.04340034723282,69.36143824632056,100.0,154.79316740641386,16.418495488153166,0.001
7,799.0,1606.9524230957034,0.0,1015.7872924804688,75.86571907997131,95.39964944124222,71.69282856282402,100.0,158.96369770504782,15.069220642760794,0.001
8,899.0,1490.3586235046387,0.0,1107.763671875,77.27250272035599,95.77666640281677,72.69968399737023,100.0,163.00341256445373,15.702922883350245,0.001
9,999.0,1404.2141723632812,0.0,1133.9520263671875,78.36092782020569,96.0847659111023,75.356622140479,100.0,167.01383817038393,23.445544251970908,0.001
10,1099.0,1317.6381635665894,0.0,1127.471923828125,79.72064054012299,96.30651205778122,76.25349566051956,100.0,170.88272281855606,15.554687476379295,0.001
11,1199.0,1221.7832145690918,0.0,1216.709228515625,81.18109625577927,96.6993106007576,76.5075534573228,100.0,174.68176980656528,19.62997175519502,0.001
12,1299.0,1161.3406343460083,0.0,1244.6610107421875,82.38109886646271,96.9287748336792,77.95891205426129,100.0,178.13629965205814,16.189902448237774,0.001
13,1399.0,1136.367380142212,0.0,1266.0933837890625,82.45160436630249,96.87726491689682,79.4886350601619,100.0,181.9009051609344,21.75020265984904,0.001
14,1499.0,1053.772961616516,0.0,1254.84228515625,83.71231633424759,97.25143992900848,80.05699204599186,100.0,185.38418106660228,18.275308231364374,0.001
15,1599.0,1004.275577545166,0.0,1329.3795166015625,84.76285004615784,97.27657926082611,80.60709511551055,100.0,188.69793236823176,22.929374401242594,0.001
16,1699.0,975.4032373428345,0.0,1350.6588134765625,84.95652174949646,97.56227260828018,81.72918993759005,100.0,191.87024294704403,16.16635485395571,0.001
17,1799.0,919.6942558288574,0.0,1351.3177490234375,85.70269703865051,97.67405033111572,83.42969824391155,100.0,195.0217340046915,19.257195594024104,0.001
18,1899.0,877.530520439148,0.0,1364.2960205078125,86.42131316661835,97.83449947834015,83.60933998321346,100.0,198.17933098215792,15.883087520764553,0.001
19,1999.0,840.8983287811279,0.0,1372.5111083984375,86.60915094614029,97.85696768760681,84.56201511834517,100.0,201.1508431102441,14.89553109843187,0.001
20,2099.0,852.1714358329772,0.0,1474.3316650390625,86.69819438457489,97.80933505296707,85.26445365250818,100.0,204.16997045808853,16.408760464761052,0.001
21,2199.0,799.214991569519,0.0,1438.861572265625,87.30819976329803,98.07698881626129,86.2041153167739,100.0,207.03322311771956,14.722584153937241,0.001
22,2299.0,778.42307472229,0.0,1522.2152099609375,87.85064023733139,98.03590309619904,86.86951121126876,100.0,209.82384036322122,15.836613374505294,0.001
23,2399.0,742.9031229019165,0.0,1523.970947265625,88.24255961179733,98.2092005610466,87.47318096771629,100.0,212.56730999468542,21.502702055358167,0.001
24,2499.0,726.8957324028015,0.0,1491.5030517578125,88.3534322977066,98.26409953832626,88.10974951491353,100.0,215.29184557683928,13.216701295476835,0.001
25,2599.0,724.9581785202026,0.0,1472.5535888671875,88.4263128042221,98.26040458679199,87.93716670897065,100.0,218.07216040245945,16.284751890899358,0.001
26,2699.0,710.7937965393066,0.0,1454.1971435546875,89.02130627632141,98.21910971403122,88.60170516099215,100.0,221.02458071735282,12.062364762424604,0.001
27,2799.0,716.1407427787781,0.0,1558.2459716796875,88.95265430212021,98.23402279615402,88.35249669369989,100.0,223.7797660240422,26.81673956701068,0.001
28,2899.0,691.8952436447144,0.0,1516.825927734375,89.24057704210281,98.29208934307098,88.63913949612434,100.0,226.34514015392088,14.041027351643601,0.001
29,2999.0,671.2226128578186,0.0,1482.7479248046875,89.76569521427155,98.34417861700058,88.42865209897215,100.0,228.90910860488748,12.235208954597075,0.001
30,3099.0,654.7268590927124,0.0,1533.058837890625,89.87061613798141,98.43612670898438,89.39322647227607,100.0,231.2813312216099,17.475237081841193,0.001
31,3199.0,622.7669806480408,0.0,1555.4404296875,90.00552195310593,98.59514850378036,90.15390115345451,100.0,233.98058757112574,14.121240120509432,0.001
32,3299.0,624.8390707969666,0.0,1539.079345703125,90.0326098203659,98.61730182170868,90.07452034838883,100.0,236.2501604752131,24.363203346047044,0.001
33,3399.0,621.0172433853149,0.0,1515.1624755859375,90.46501678228378,98.48408037424088,90.21830462833135,100.0,238.77574979037738,13.510322575767974,0.001
34,3499.0,595.464596748352,0.0,1554.5950927734375,90.8024862408638,98.6090858578682,90.45296165987,100.0,241.09016049735172,14.574587690386497,0.001
35,3599.0,587.7352442741394,0.0,1524.388671875,90.97580450773239,98.53098505735397,90.62577970405577,100.0,243.47115654499777,9.950098574359425,0.001
